Time,PosX,PosY,PosZ,OriX,OriY,OriZ,OriW
1722003277.6406875,-0.0002212065737694502,-1.0758005373645574e-05,-4.74428161396645e-05,-9.039992437465116e-05,0.06865008175373077,-0.00013077020412310958,0.9976407885551453
1722003277.6456766,-0.00022659639944322407,-1.1548851944098715e-05,-3.519329766277224e-05,-8.191556844394654e-05,0.06865411251783371,-0.00013647088780999184,0.9976405501365662
1722003277.6506667,-0.00023246357159223408,-1.2446514119801577e-05,-2.420875898678787e-05,-8.840417285682634e-05,0.06865830719470978,-0.00013059498451184481,0.9976403117179871
1722003277.6556568,-0.00023714534472674131,-1.177152807940729e-05,-1.7963460777536966e-05,-7.902878860477358e-05,0.06865187734365463,-0.0001255665411008522,0.9976406693458557
1722003277.6606457,-0.0002420954842818901,-1.1461023859737907e-05,-8.28239990369184e-06,-8.705408981768414e-05,0.06865642219781876,-0.00012478287681005895,0.9976403713226318
1722003277.6656356,-0.000247068761382252,-1.0785909580590669e-05,2.1846087747690035e-06,-8.946135494625196e-05,0.0686531513929367,-0.00012278782378416508,0.9976406097412109
1722003277.6706254,-0.00020744508947245777,-9.868223969533574e-06,-0.00010427175584482029,-8.760313357925043e-05,0.06863932311534882,-0.00013495721213985234,0.9976416230201721
1722003277.6756148,-0.0002122819860232994,-8.1160169429495e-06,-0.00011015543714165688,-7.582904800074175e-05,0.06864280998706818,-0.00013458031753543764,0.997641384601593
1722003277.6806047,-0.000212796512641944,-6.046831913408823e-06,-0.00010882442438742146,-8.25385213829577e-05,0.06863225996494293,-0.00013204260903876275,0.9976420998573303
1722003277.6855948,-0.00021287583513185382,-3.623725888246554e-06,-0.00010571532038738951,-7.314966205740348e-05,0.06864684820175171,-0.0001362017501378432,0.9976410865783691
1722003277.6905835,-0.00021147039660718292,-2.5703768642415525e-06,-9.570030670147389e-05,-7.393748819595203e-05,0.06865119934082031,-0.00013553285680245608,0.9976407885551453
1722003277.6955736,-0.00020876845519524068,-9.091749575418362e-07,-8.611520024714991e-05,-7.84826188464649e-05,0.0686410665512085,-0.00012186713865958154,0.9976415038108826
1722003277.7005637,-0.00020368614059407264,6.327389314719767e-07,-7.401381299132481e-05,-7.871544221416116e-05,0.06863486021757126,-0.00012625250383280218,0.997641921043396
1722003277.7055528,-0.00014354989980347455,7.678861038584728e-06,-4.493354936130345e-06,-8.756340685067698e-05,0.06865726411342621,-0.00010875771113205701,0.9976403117179871
1722003277.7105424,-0.00013288631453178823,8.86941506905714e-06,1.5119800082175061e-05,-8.343956142198294e-05,0.06865161657333374,-0.00011904580605914816,0.9976407289505005
1722003277.7155325,-0.00012173644790891558,9.975144166674e-06,3.409416967770085e-05,-8.933002391131595e-05,0.06864389777183533,-0.00012003585288766772,0.9976412653923035
1722003277.7205226,-0.00011424536205595359,1.1008211913576815e-05,4.604452260537073e-05,-7.519472273997962e-05,0.06865542382001877,-0.00012411948409862816,0.9976404905319214
1722003277.7255118,-0.00010550814477028325,1.1919543794647325e-05,6.348400347633287e-05,-9.002269507618621e-05,0.06865420937538147,-0.00013733285595662892,0.9976405501365662
1722003277.7305017,-9.790655167307705e-05,1.2704484106507152e-05,8.341029024450108e-05,-7.723436283413321e-05,0.0686589702963829,-0.00013073478476144373,0.9976402521133423
1722003277.7354918,-8.861373498803005e-05,1.1637108400464058e-05,0.00011565333988983184,-8.791984873823822e-05,0.06866932660341263,-0.0001263448502868414,0.997639536857605
1722003277.7404804,-0.0001702625013422221,-2.892731936299242e-05,-3.3175234420923516e-05,-8.750824781600386e-05,0.06865675747394562,-0.0001634339860174805,0.9976403713226318
1722003277.7454708,-0.00016143941320478916,-3.361068957019597e-05,-2.0095787476748228e-05,-9.653683082433417e-05,0.06865893304347992,-0.00017561933782417327,0.9976401925086975
1722003277.7504606,-0.0001590395113453269,-3.6404711863724515e-05,-5.590760792983929e-06,-9.626698010833934e-05,0.06866373866796494,-0.00018993503181263804,0.9976398944854736
1722003277.7554498,-0.00014904893760103732,-4.059157072333619e-05,1.1525008630997036e-05,-0.00010650217882357538,0.06866462528705597,-0.00017662842583376914,0.9976398348808289
1722003277.7604394,-0.0001409523974871263,-4.48840219178237e-05,3.078493682551198e-05,-9.702219540486112e-05,0.06865976750850677,-0.00017724026110954583,0.9976401329040527
1722003277.7654297,-0.00013475464947987348,-4.9284612032352015e-05,5.129741839482449e-05,-9.702036186354235e-05,0.06865651905536652,-0.00018684615497477353,0.9976403713226318
1722003277.7704196,-2.016589314735029e-05,-1.7205000403919257e-05,1.0370959898864385e-05,-8.876409992808476e-05,0.06870179623365402,-0.0001868947729235515,0.9976372122764587
1722003277.7754087,-1.7586637113709003e-05,-1.7070318790501915e-05,2.6933068511425517e-05,-9.179495827993378e-05,0.06870277971029282,-0.0001936061744345352,0.997637152671814
1722003277.7803986,-1.6726742614991963e-05,-1.6575098925386555e-05,4.5546868932433426e-05,-8.492417691741139e-05,0.06868183612823486,-0.00019147440616507083,0.9976385831832886
1722003277.7853885,-4.973590421286644e-06,-1.893864646262955e-05,7.001803169259802e-05,-8.524807344656438e-05,0.0686970055103302,-0.0001846056547947228,0.9976375699043274
1722003277.7903776,-9.072300031220948e-07,-1.958267057489138e-05,9.272708848584443e-05,-7.725845352979377e-05,0.06870421022176743,-0.00018798356177285314,0.9976370930671692
1722003277.7953677,4.320550033298787e-06,-2.0329469407442957e-05,0.00011776749306591228,-7.498446939280257e-05,0.068696990609169,-0.00019156663620378822,0.9976375699043274
1722003277.8003576,1.096656433219323e-05,-2.1202196876402013e-05,0.00014370375720318407,-7.625148282386363e-05,0.06869648396968842,-0.00018420215928927064,0.9976376295089722
1722003277.8053467,8.175704351742752e-06,3.660099537228234e-06,4.528596036834642e-05,-7.544984691776335e-05,0.0687045231461525,-0.00017555900558363646,0.9976370334625244
1722003277.8103364,1.2263004464330152e-05,4.420433924678946e-06,6.333631608868018e-05,-7.674540393054485e-05,0.06868431717157364,-0.0001727037160890177,0.997638463973999
1722003277.8153267,1.8913360690930858e-05,5.042120392317884e-06,8.527359022991732e-05,-8.10792698757723e-05,0.06867271661758423,-0.00017283967463299632,0.9976392388343811
1722003277.8203166,2.6208652343484573e-05,5.577548563451273e-06,0.0001054390668286942,-7.22138793207705e-05,0.068697988986969,-0.0001623957505216822,0.9976375102996826
1722003277.8253057,3.523523628246039e-05,5.999695531500038e-06,0.0001267485786229372,-7.31618856661953e-05,0.06868202239274979,-0.0001690271164989099,0.9976385831832886
1722003277.8302956,4.582846304401755e-05,6.304427188297268e-06,0.0001472211442887783,-7.129115692805499e-05,0.06867813318967819,-0.0001661001006141305,0.9976388812065125
1722003277.8352854,5.551438880502246e-05,6.48587774776388e-06,0.00016972202865872532,-7.054370507830754e-05,0.06868351995944977,-0.0001733810786390677,0.9976385235786438
1722003277.8402746,-0.0002506244636606425,-5.409089681052137e-06,-4.454917507246137e-05,-8.00050183897838e-05,0.06866747885942459,-0.00018196622841060162,0.9976395964622498
1722003277.8452647,-0.0002649461093824357,-5.981436970614595e-06,-3.7762889405712485e-05,-7.287371408892795e-05,0.06866777688264847,-0.00018325795826967806,0.9976395964622498
1722003277.8502545,-0.00028072239365428686,-6.697886874462711e-06,-2.6047646315419115e-05,-7.291162182809785e-05,0.06866234540939331,-0.0001795476709958166,0.9976400136947632
1722003277.8552434,-0.0002973821829073131,-7.527454727096483e-06,-1.4559109331457876e-05,-7.142375397961587e-05,0.06866709887981415,-0.00018055591499432921,0.9976396560668945
1722003277.8602335,-0.00031271346961148083,-1.0172439033340197e-05,-2.301283075212268e-06,-6.864827446406707e-05,0.06867924332618713,-0.00018630003614816815,0.9976388216018677
1722003277.8652236,-0.0003284362028352916,-1.268429150513839e-05,1.0645846487022936e-05,-7.365694909822196e-05,0.06867928057909012,-0.00018883190932683647,0.9976388216018677
1722003277.8702126,-0.0002513901563361287,-2.468129969201982e-05,-9.215172758558765e-05,-7.020046905381605e-05,0.06866510957479477,-0.0001758846774464473,0.9976398348808289
1722003277.8752027,-0.0002535443054512143,-2.919622784247622e-05,-8.445559069514275e-05,-6.467217463068664e-05,0.06867976486682892,-0.00017707802180666476,0.9976387023925781
1722003277.8801925,-0.0002507647150196135,-3.107653901679441e-05,-6.937859143363312e-05,-6.638862396357581e-05,0.06866838037967682,-0.00016700036940164864,0.997639536857605
1722003277.8851826,-0.00025384515174664557,-3.495526470942423e-05,-5.591749868472107e-05,-6.683931133011356e-05,0.06867807358503342,-0.00017864331312011927,0.9976388812065125
1722003277.8901715,-0.00025781933800317347,-3.899763760273345e-05,-3.922428368241526e-05,-5.971734208287671e-05,0.068692147731781,-0.00016811936802696437,0.9976378679275513
1722003277.8951616,-0.0002654057461768389,-4.3230538722127676e-05,-1.897445872600656e-05,-6.324632704490796e-05,0.06868497282266617,-0.00017607792688068002,0.9976384043693542
1722003277.9001517,-0.0002716393501032144,-4.760346928378567e-05,1.9768092442973284e-06,-5.958435212960467e-05,0.06868796050548553,-0.0001885220262920484,0.9976381659507751
1722003277.9051406,9.232875163434073e-05,-2.6975445507559925e-05,-0.0001122478861361742,-7.319961150642484e-05,0.0687054991722107,-0.00019254148355685174,0.9976369738578796
1722003277.9101305,0.00010435736476210877,-2.969554225273896e-05,-0.00011051953333662823,-6.795674562454224e-05,0.06870315223932266,-0.00018660546629689634,0.997637152671814
1722003277.9151206,0.00012150777911301702,-3.2528383599128574e-05,-0.00010647814633557573,-6.710888555971906e-05,0.06869637221097946,-0.00016841443721204996,0.9976376295089722
1722003277.9201095,0.00013648514868691564,-3.547615779098123e-05,-0.00010097659833263606,-6.047195347491652e-05,0.06869657337665558,-0.00016158385551534593,0.9976376295089722
1722003277.9250996,0.00014734834257978946,-3.85907078452874e-05,-8.888545562513173e-05,-6.51953523629345e-05,0.06869189441204071,-0.00017269210366066545,0.997637927532196
1722003277.93009,0.00015926214109640568,-4.180795804131776e-05,-7.771709351800382e-05,-6.542571645695716e-05,0.06869342178106308,-0.00016709172632545233,0.9976378083229065
1722003277.9350796,0.00017128032050095499,-4.515818727668375e-05,-6.357022357406095e-05,-5.6098881032085046e-05,0.06870153546333313,-0.0001729014329612255,0.9976372718811035
1722003277.9400687,-0.00016631584730930626,-4.619334958988475e-08,2.532303005864378e-05,-6.13581869401969e-05,0.06865844130516052,-0.00016511294234078377,0.9976402521133423
1722003277.9450586,-0.00016749647329561412,1.8449640037943027e-07,5.155734470463358e-05,-6.10021197644528e-05,0.06865838170051575,-0.00017182811279781163,0.9976402521133423
1722003277.9500487,-0.0001658984401728958,2.6328743274461885e-07,8.11707868706435e-05,-5.86989481234923e-05,0.06865555047988892,-0.00017544327420182526,0.9976404309272766
1722003277.9550376,-0.00016317151312250644,2.2710162284056423e-07,0.00010965091496473178,-6.183207733556628e-05,0.06866112351417542,-0.00017114677757490426,0.997640073299408
1722003277.9600277,-0.00015997404989320785,5.786452916822782e-08,0.00014120814739726484,-6.505769852083176e-05,0.06866046041250229,-0.00018459591956343502,0.9976401329040527
1722003277.9650176,-0.00015656763571314514,-2.3309596031140245e-07,0.0001745177578413859,-6.54381001368165e-05,0.0686633437871933,-0.0001940076908795163,0.9976399540901184
1722003277.9700067,1.1051037290599197e-05,-1.4197929885995109e-05,3.3717376936692744e-05,-7.857597665861249e-05,0.06869225949048996,-0.00019855250138789415,0.997637927532196
1722003277.9749968,2.319258601346519e-05,-1.5834062651265413e-05,5.999797213007696e-05,-9.087027137866244e-05,0.06871026754379272,-0.000200290945940651,0.997636616230011
1722003277.9799867,3.7451351090567186e-05,-1.757502104737796e-05,8.298494503833354e-05,-8.66727641550824e-05,0.06869252026081085,-0.00021360747632570565,0.9976378679275513
1722003277.9849756,5.1131206419086084e-05,-1.9410103050176986e-05,0.00010628302698023617,-9.102992044063285e-05,0.06870750337839127,-0.0002220411697635427,0.9976368546485901
1722003277.9899657,6.840689457021654e-05,-2.132176268787589e-05,0.0001274874375667423,-9.149821562459692e-05,0.06870875507593155,-0.00021984471823088825,0.9976367354393005
1722003277.9949555,8.416995115112513e-05,-2.3358526959782466e-05,0.00015044750762172043,-9.031705121742561e-05,0.06870057433843613,-0.00021897224360145628,0.9976373314857483
