Time,PosX,PosY,PosZ,OriX,OriY,OriZ,OriW
1721994943.9792273,-0.00012537441216409206,-3.379058762220666e-05,-2.3427062842529267e-05,-0.0013189696474000812,0.12817206978797913,-0.0003818112309090793,0.9917510747909546
1721994943.9842184,-0.00014034219202585518,-4.141524186707102e-05,-1.1937723684241064e-05,-0.00131231767591089,0.12816138565540314,-0.00037622801028192043,0.9917524456977844
1721994943.9892082,-0.00015566872025374323,-4.948994319420308e-05,-6.714092251058901e-07,-0.0013232710771262646,0.12817631661891937,-0.0003731636388693005,0.9917504787445068
1721994943.9941983,-0.00017717895389068872,-5.635001070913859e-05,8.64148296386702e-06,-0.00132306560408324,0.12818408012390137,-0.00038070554728619754,0.9917494654655457
1721994943.9991882,-0.0001958284410648048,-6.391298666130751e-05,1.972867175936699e-05,-0.0013219512766227126,0.1281842291355133,-0.0003734099445864558,0.9917494654655457
1721994944.0041785,-0.0002150552609236911,-7.147047290345654e-05,3.0648578103864565e-05,-0.0013225919101387262,0.1281755119562149,-0.00037553143920376897,0.9917505979537964
1721994944.0091693,-1.571852044435218e-05,4.976380296284333e-06,4.068925409228541e-05,-0.001322929048910737,0.12817654013633728,-0.0003782962157856673,0.9917504191398621
1721994944.0141594,-1.3249680705484934e-05,4.742294095194666e-06,5.9256242820993066e-05,-0.0013205641880631447,0.12817464768886566,-0.0003722440742421895,0.9917506575584412
1721994944.0191493,-8.023985174077097e-06,5.005910679756198e-06,8.058718231040984e-05,-0.0013149084988981485,0.12815812230110168,-0.0003743764536920935,0.9917528033256531
1721994944.0241392,4.173137313046027e-06,4.073467607668135e-06,0.00010386086796643212,-0.0013207560405135155,0.1281658262014389,-0.000359211175236851,0.9917518496513367
1721994944.0291293,1.2924295333505142e-05,3.926118097297149e-06,0.0001268879568669945,-0.00132022297475487,0.12817928194999695,-0.00037015494308434427,0.9917501211166382
1721994944.0341194,2.0373381630633958e-05,3.8655430216749664e-06,0.00015111984976101667,-0.0013174208579584956,0.12816022336483002,-0.0003632630396168679,0.9917526245117188
1721994944.0391104,2.8085813028155826e-05,3.8532703001692425e-06,0.00017658963042777032,-0.001313629443757236,0.12816987931728363,-0.0003530309768393636,0.9917513132095337
1721994944.0441003,6.65862244204618e-05,2.987393418152351e-05,-9.649205458117649e-05,-0.0013253489742055535,0.12818405032157898,-0.0003505817148834467,0.9917494654655457
1721994944.0490904,7.433236169163138e-05,3.1002669857116416e-05,-9.157981548923999e-05,-0.001317557878792286,0.1281711608171463,-0.000353944837115705,0.9917511343955994
1721994944.0540802,8.242204785346985e-05,3.216667755623348e-05,-8.682384213898331e-05,-0.0013194297207519412,0.1281801164150238,-0.0003631676663644612,0.9917500019073486
1721994944.0590706,9.166520612780005e-05,3.0255423553171568e-05,-8.588200580561534e-05,-0.001316235982812941,0.12819808721542358,-0.00036511931102722883,0.9917476773262024
1721994944.0640616,0.00010408613161416724,2.9562030249508098e-05,-7.980451482580975e-05,-0.00132267945446074,0.1281876266002655,-0.00034838044666685164,0.9917490482330322
1721994944.0690515,0.00011853548494400457,2.841280547727365e-05,-7.147381256800145e-05,-0.0013086296385154128,0.12817634642124176,-0.0003462951281107962,0.9917504787445068
1721994944.0740414,0.0001323632604908198,2.6783156499732286e-05,-5.4253378038993105e-05,-0.0013132449239492416,0.12817364931106567,-0.0003414509992580861,0.9917508363723755
1721994944.0790312,5.3658401157008484e-05,1.6093943486339413e-05,-0.00011928129242733121,-0.0013153892941772938,0.12816748023033142,-0.0003644761454779655,0.9917516112327576
1721994944.0840223,5.1538660045480356e-05,1.2434869859134778e-05,-0.00011468709271866828,-0.0013167269062250853,0.12816596031188965,-0.00034925033105537295,0.9917518496513367
1721994944.0890121,3.746950824279338e-05,1.0906326679105405e-05,-0.00010573308827588335,-0.0013176051434129477,0.12817014753818512,-0.00036715983878821135,0.9917512536048889
1721994944.0940025,2.895340367103927e-05,8.037872248678468e-06,-9.824877633946016e-05,-0.001319869072176516,0.1281834840774536,-0.0003617981856223196,0.9917495846748352
1721994944.0989923,1.6336347471224144e-05,5.1901456572522875e-06,-9.016959666041657e-05,-0.0013203528942540288,0.128183051943779,-0.00036616131546907127,0.99174964427948
1721994944.1039824,7.248649581015343e-06,2.3838854303903645e-06,-8.16717729321681e-05,-0.0013189269229769707,0.1281660497188568,-0.00037590303691104054,0.9917518496513367
1721994944.108972,-1.7489077436039224e-05,-1.0810869753186125e-05,3.49292931787204e-05,-0.001323689124546945,0.1281554400920868,-0.00036239041946828365,0.9917531609535217
1721994944.1139634,-2.5631170501583256e-05,-1.4181865481077693e-05,5.571188376052305e-05,-0.0013119007926434278,0.12816210091114044,-0.00035617148387245834,0.9917523264884949
1721994944.1189532,-3.3350301237078384e-05,-1.754926415742375e-05,8.486230944981799e-05,-0.0013129716971889138,0.12814003229141235,-0.0003608297265600413,0.9917551875114441
1721994944.1239433,-4.24848185502924e-05,-2.083501749439165e-05,0.00011107023601653054,-0.0013088907580822706,0.12815558910369873,-0.00036626719520427287,0.9917531609535217
1721994944.1289334,-5.210245217313059e-05,-2.411365494481288e-05,0.0001390818797517568,-0.0013083992525935173,0.12816131114959717,-0.00036397657822817564,0.9917524456977844
1721994944.1339233,-6.11929499427788e-05,-2.7404232241678983e-05,0.0001684283633949235,-0.0013061475474387407,0.12815143167972565,-0.0003595300076995045,0.9917537569999695
1721994944.1389143,-6.992839917074889e-05,-3.070518869208172e-05,0.00019789522048085928,-0.0013110563158988953,0.1281418651342392,-0.00036146375350654125,0.991754949092865
1721994944.1439042,6.962642510188743e-05,-8.13692622614326e-06,-5.447776129585691e-05,-0.0013168507721275091,0.12816675007343292,-0.00038188675534911454,0.9917516708374023
1721994944.1488943,7.589038432342932e-05,-1.0258158908982296e-05,-4.588174488162622e-05,-0.0013223254354670644,0.12815366685390472,-0.0003803021681960672,0.9917533993721008
1721994944.1538844,7.872022979427129e-05,-1.5457384506589733e-05,-3.486332934699021e-05,-0.0013246614253148437,0.12815149128437042,-0.000378275552066043,0.9917536973953247
1721994944.1588743,8.344783418579027e-05,-1.935874024638906e-05,-2.4379916794714518e-05,-0.0013208517339080572,0.12816140055656433,-0.00037737746606580913,0.9917523860931396
1721994944.1638653,8.792424341663718e-05,-2.37298463616753e-05,-1.2617569154826924e-05,-0.001322285970672965,0.1281585395336151,-0.00037339224945753813,0.9917527437210083
1721994944.1688552,9.156173473456874e-05,-2.689095890673343e-05,2.824547891577822e-06,-0.0013263981090858579,0.12815196812152863,-0.00037331937346607447,0.9917535781860352
1721994944.1738453,9.559854515828192e-05,-3.075379936490208e-05,1.816155963751953e-05,-0.0013207319425418973,0.12816005945205688,-0.000374865805497393,0.991752564907074
1721994944.1788354,0.00010795355046866462,3.5931072488892823e-05,-6.961668259464204e-05,-0.0013265679590404034,0.12814630568027496,-0.00037651153979822993,0.9917542934417725
1721994944.1838255,0.00011842959065688774,3.6778517824131995e-05,-5.739310654462315e-05,-0.0013353269314393401,0.1281469464302063,-0.0003711164172273129,0.9917542338371277
1721994944.1888163,0.0001242767903022468,3.763088898267597e-05,-4.297971463529393e-05,-0.0013428742531687021,0.1281430870294571,-0.0003781897248700261,0.9917547106742859
1721994944.1938064,0.0001294803514610976,3.849658969556913e-05,-2.4993749320856296e-05,-0.0013384687481448054,0.1281524896621704,-0.0003647014673333615,0.9917535185813904
1721994944.1987963,0.00013002661580685526,3.770684270421043e-05,-3.5791574646282243e-06,-0.0013440647162497044,0.128138929605484,-0.00036416130024008453,0.9917553067207336
1721994944.2037861,0.0001327724603470415,3.718422522069886e-05,1.7504658899269998e-05,-0.001330723986029625,0.12814560532569885,-0.00036251608980819583,0.991754412651062
1721994944.2087765,9.709372534416616e-06,-4.210943006910384e-05,1.201583472720813e-05,-0.0013327490305528045,0.12817052006721497,-0.0003628836711868644,0.9917511343955994
1721994944.2137673,1.3144745025783777e-05,-4.684635860030539e-05,2.284330184920691e-05,-0.0013236369704827666,0.12816984951496124,-0.00035056538763456047,0.9917513132095337
1721994944.2187574,1.2419876838976052e-05,-5.28036143805366e-05,3.5084009141428396e-05,-0.001320851850323379,0.1281702071428299,-0.0003555338189471513,0.9917513132095337
1721994944.2237473,1.083103779819794e-05,-5.868372682016343e-05,4.691857975558378e-05,-0.0013208171585574746,0.1281639188528061,-0.0003486196219455451,0.9917520880699158
1721994944.2287374,1.761829707902507e-06,-6.623028457397595e-05,6.282904359977692e-05,-0.0013176138745620847,0.12816275656223297,-0.000358593970304355,0.9917522668838501
1721994944.2337272,-3.2919683690124657e-06,-7.342112076003104e-05,7.812195690348744e-05,-0.001314440742135048,0.12814565002918243,-0.0003524170315358788,0.9917544722557068
1721994944.2387176,-8.808396160020493e-06,-8.104709559120238e-05,9.429598867427558e-05,-0.001312357373535633,0.12815016508102417,-0.0003463757166173309,0.991753876209259
1721994944.2437086,-7.927069236757234e-05,-1.5423758668475784e-05,1.030437124427408e-05,-0.0013135093031451106,0.12814368307590485,-0.00036162318428978324,0.9917546510696411
1721994944.2486985,-9.182951180264354e-05,-1.9999713913421147e-05,3.32568924932275e-05,-0.0013260432751849294,0.12813125550746918,-0.0003666371922008693,0.99175626039505
