Timestamp,Replanning Count,Replanning Time,Cumulative Replanning Time,Path Deviation,Success Rate
1721382973.5172248,1,0.49367594718933105,0.49367594718933105,6.800000101327896,100.0
1721382974.049524,2,0.5322990417480469,1.025974988937378,0.0,100.0
1721382974.5304055,3,0.4808812141418457,1.5068562030792236,6.70000009983778,100.0
1721382975.0246844,4,0.4942796230316162,2.00113582611084,0.0,100.0
1721382975.5277038,5,0.5030176639556885,2.5041534900665283,1.0500000156462193,100.0
1721382976.036215,6,0.5085141658782959,3.012667655944824,0.0,100.0
1721382976.5317078,7,0.49549102783203125,3.5081586837768555,2.2500000335276127,100.0
1721382977.0321321,8,0.5004231929779053,4.008581876754761,0.0,100.0
1721382977.5274615,9,0.495330810546875,4.503912687301636,1.8000000268220901,100.0
1721382978.0346618,10,0.5071964263916016,5.011109113693237,0.0,100.0
1721382978.5304506,11,0.49579358100891113,5.506902694702148,1.8000000268220901,100.0
1721382979.0358229,12,0.5053708553314209,6.012273550033569,0.0,100.0
1721382979.5406237,13,0.5048019886016846,6.517075538635254,2.500000037252903,100.0
1721382980.0356138,14,0.49498939514160156,7.0120649337768555,0.0,100.0
1721382980.5362005,15,0.5005860328674316,7.512650966644287,3.7500000558793545,100.0
1721382981.04948,16,0.5132803916931152,8.025931358337402,0.0,100.0
1721382981.5395617,17,0.4900813102722168,8.51601266860962,3.7500000558793545,100.0
1721382982.0401058,18,0.5005450248718262,9.016557693481445,0.0,100.0
1721382982.5415237,19,0.5014173984527588,9.517975091934204,1.2500000186264515,100.0
1721382983.0534003,20,0.5118768215179443,10.029851913452148,0.0,100.0
1721382983.3082244,21,0.2548243999481201,10.284676313400269,0.0,100.0
1721382983.8068323,22,0.49860668182373047,10.783282995223999,2.600000038743019,100.0
1721382984.3126535,23,0.5058212280273438,11.289104223251343,0.0,100.0
1721382984.8263361,24,0.5136833190917969,11.80278754234314,2.1000000312924385,100.0
1721382985.3188283,25,0.4924919605255127,12.295279502868652,0.0,100.0
1721382985.8173263,26,0.49849796295166016,12.793777465820312,2.3000000342726707,100.0
1721382986.3201127,27,0.5027856826782227,13.296563148498535,0.0,100.0
1721382986.8255315,28,0.5054199695587158,13.801983118057251,8.274531349246917,100.0
1721382987.3258283,29,0.500295877456665,14.302278995513916,1.8618034266180221,100.0
1721382987.832057,30,0.5062289237976074,14.808507919311523,31.715976672022382,100.0
1721382988.3328238,31,0.5007665157318115,15.309274435043335,0.0,100.0
1721382988.8263042,32,0.49348020553588867,15.802754640579224,9.773744209940492,100.0
1721382989.3252318,33,0.4989287853240967,16.30168342590332,14.921440602581228,100.0
1721382989.8250344,34,0.4998030662536621,16.801486492156982,33.8784041574617,100.0
1721382990.3244982,35,0.4994635581970215,17.300950050354004,13.28949555609011,100.0
1721382990.832335,36,0.5078375339508057,17.80878758430481,14.288406991286614,100.0
1721382991.3270247,37,0.4946866035461426,18.303474187850952,18.246759920416682,100.0
1721382991.8249757,38,0.4979531764984131,18.801427364349365,33.90469008854053,100.0
1721382992.3370702,39,0.5120947360992432,19.31352210044861,15.026272832093218,100.0
1721382992.841307,40,0.5042364597320557,19.817758560180664,23.949863433815626,100.0
1721382993.3388522,41,0.4975447654724121,20.315303325653076,7.058897076354628,100.0
1721382993.8303661,42,0.4915146827697754,20.80681800842285,11.148049006378145,100.0
1721382994.340506,43,0.5101377964019775,21.31695580482483,9.739188911098047,100.0
1721382994.8602538,44,0.5197169780731201,21.83667278289795,11.001690854347352,100.0
1721382995.3431616,45,0.4829404354095459,22.319613218307495,8.390527354306384,100.0
1721382995.8711276,46,0.5279653072357178,22.847578525543213,5.250000078231096,100.0
1721382996.3434415,47,0.47231483459472656,23.31989336013794,5.422783628979475,100.0
1721382996.842899,48,0.4994535446166992,23.81934690475464,5.982681876360687,100.0
1721382997.342394,49,0.4994790554046631,24.3188259601593,10.021955732265722,100.0
1721382997.8604264,50,0.5180521011352539,24.836878061294556,11.33202209517666,100.0
1721382998.3449726,51,0.4845461845397949,25.32142424583435,9.368643261133272,100.0
1721382998.8589506,52,0.5139780044555664,25.835402250289917,13.757287120067618,100.0
1721382999.3512192,53,0.4922676086425781,26.327669858932495,13.612312960087033,100.0
1721382999.866823,54,0.5156028270721436,26.84327268600464,15.042608972502967,100.0
1721383000.3497198,55,0.482898473739624,27.326171159744263,9.154991077338682,100.0
1721383000.8537881,56,0.5040686130523682,27.83023977279663,5.604745199037672,100.0
1721383001.3533735,57,0.499584436416626,28.329824209213257,10.561996171268653,100.0
1721383001.8733776,58,0.5200035572052002,28.849827766418457,6.2403570622817215,100.0
1721383002.3595576,59,0.48618102073669434,29.33600878715515,5.003869184055389,100.0
1721383002.8581853,60,0.4986279010772705,29.834636688232422,6.6349441005457255,100.0
1721383003.351258,61,0.4930717945098877,30.32770848274231,6.820094265974351,100.0
1721383003.8673577,62,0.5161013603210449,30.843809843063354,6.149901305812145,100.0
1721383004.361554,63,0.49419379234313965,31.338003635406494,6.250083505156955,100.0
1721383004.864973,64,0.5034186840057373,31.84142231941223,5.282386952607081,100.0
1721383005.360487,65,0.495516300201416,32.33693861961365,3.9592893277356374,100.0
1721383005.8546364,66,0.49415016174316406,32.83108878135681,2.5056739035067417,100.0
1721383006.3663003,67,0.5116631984710693,33.34275197982788,3.4530587303173084,100.0
1721383006.8812313,68,0.5149307250976562,33.85768270492554,3.936408406650895,100.0
1721383007.3759062,69,0.4946751594543457,34.35235786437988,1.5955612739958522,100.0
1721383007.8753543,70,0.4994478225708008,34.851805686950684,3.5754835291582774,100.0
