Timestamp,Replanning Count,Replanning Time,Cumulative Replanning Time,Path Deviation,Success Rate
1722065200.7157235,1,0.5079920291900635,0.5079920291900635,7.90867865901393,100.0
1722065201.5717888,2,0.8560652732849121,1.3640573024749756,7.457133540093448,100.0
1722065202.2575421,3,0.685753345489502,2.0498106479644775,11.289331634492457,100.0
1722065202.7345338,4,0.4769916534423828,2.5268023014068604,4.556405424448828,100.0
1722065203.5761173,5,0.8415834903717041,3.3683857917785645,4.473178205172262,100.0
1722065204.36682,6,0.7907028198242188,4.159088611602783,3.8743693084811857,100.0
1722065205.2788556,7,0.9120354652404785,5.071124076843262,8.987379949293608,100.0
1722065205.8120673,8,0.5332117080688477,5.604335784912109,2.772685878837116,100.0
1722065206.387376,9,0.5753087997436523,6.179644584655762,3.178273667665256,100.0
1722065206.882955,10,0.4955790042877197,6.6752235889434814,3.0146917556258135,100.0
1722065207.338176,11,0.45522093772888184,7.130444526672363,6.774945936805972,100.0
1722065207.6863005,12,0.34812450408935547,7.478569030761719,6.801568106314863,100.0
1722065208.4958575,13,0.8095569610595703,8.288125991821289,7.822954310503684,100.0
1722065208.8965375,14,0.4006800651550293,8.688806056976318,2.560865140348782,100.0
1722065209.3726492,15,0.47611165046691895,9.164917707443237,1.8496056758699613,100.0
1722065209.924715,16,0.5520658493041992,9.716983556747437,7.336264541822262,100.0
1722065210.4245021,17,0.4997870922088623,10.216770648956299,1.4951874968233934,100.0
1722065210.7843308,18,0.3598287105560303,10.576599359512329,1.1885332507117556,100.0
1722065211.220496,19,0.43616509437561035,11.01276445388794,7.396197994206027,100.0
1722065211.7878034,20,0.5673074722290039,11.580071926116943,1.3203907627824942,100.0
1722065212.3124492,21,0.5246458053588867,12.10471773147583,1.6459653486981618,100.0
1722065212.665638,22,0.35318875312805176,12.457906484603882,1.412864754118478,100.0
1722065213.2180567,23,0.5524187088012695,13.010325193405151,1.9218648016225028,100.0
1722065213.66056,24,0.4425032138824463,13.452828407287598,4.585462017220257,100.0
1722065214.2413692,25,0.5808093547821045,14.033637762069702,1.1974837038648616,100.0
1722065214.7724552,26,0.5310859680175781,14.56472373008728,3.8011621651536696,100.0
1722065215.1607614,27,0.3883061408996582,14.953029870986938,9,100.0
1722065215.6791632,28,0.5184018611907959,15.471431732177734,0,100.0
1722065216.1246805,29,0.44551730155944824,15.916949033737183,0,100.0
1722065216.6190608,30,0.49438023567199707,16.41132926940918,0,100.0
1722065217.118224,31,0.4991631507873535,16.910492420196533,0,100.0
1722065217.7081802,32,0.5899562835693359,17.50044870376587,6,100.0
1722065218.123903,33,0.4157228469848633,17.916171550750732,1.9239287514112222,100.0
1722065218.6066406,34,0.48273754119873047,18.398909091949463,1.774973853808043,100.0
1722065219.1568263,35,0.5501856803894043,18.949094772338867,0.23027756720460257,100.0
1722065219.6397433,36,0.48291707038879395,19.43201184272766,0.46225201641142166,100.0
1722065220.1393661,37,0.49962282180786133,19.931634664535522,1.306508002984709,100.0
1722065220.6392088,38,0.49984264373779297,20.431477308273315,0.15000000223517418,100.0
1722065221.138827,39,0.4996182918548584,20.931095600128174,0.11180340054098996,100.0
